"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 0.888734545549831
2 0.5796297804649926
3 0.4106823735869521
4 0.315677171638552
5 0.2622444076057304
6 0.2318688461911876
7 0.2137166620983261
8 0.2013669158891033
9 0.1928040552208124
10 0.1868929051000105
11 0.1827495219681945
12 0.1798914888967035
13 0.1778313081978654
14 0.1763793659237953
15 0.1753434412944452
16 0.1745731385998517
17 0.1740190239133434
18 0.1736014271933733
19 0.1732874468114709
20 0.1730503371516632
21 0.1728714375293809
22 0.172736661441702
23 0.172635270825997
24 0.1725590499304403
25 0.1725017218684447
26 0.1724585155145128
27 0.1724258313891243
28 0.1724009768094288
29 0.1723819543066801
30 0.1723672927789679
31 0.172355914151058
32 0.1723470291801861
33 0.1723400583598615
34 0.172334573126363
35 0.172330252632925
36 0.1723268528061679
37 0.1723241846903051
38 0.1723220995119089
39 0.1723204784980625
40 0.1723192259067079
41 0.1723182641899529
42 0.1723175305305108
43 0.1723169890288207
44 0.1723165771253868
45 0.1723162647494469
46 0.1723160282211874
47 0.1723158493318349
48 0.1723157141196072
49 0.1723156119252469
50 0.1723155346456118
51 0.1723154761458683
52 0.1723154317986808
53 0.1723153981246217
54 0.1723153725131357
55 0.172315353007476
56 0.1723153381402569
57 0.1723153268087799
58 0.1723153181813688
59 0.1723153116276053
60 0.1723153066667843
61 0.1723153029300695
62 0.1723153001328144
